"DateTime","Tasa Representativa del Mercado (TRM)"
"1993-07-25 05:00:00",798.83
"1993-07-26 05:00:00",798.83
"1993-07-27 05:00:00",799.17
"1993-07-28 05:00:00",799.96
"1993-07-29 05:00:00",800.42
"1993-07-30 05:00:00",801.04
"1993-07-31 05:00:00",801.35
"1993-08-01 05:00:00",801.35
"1993-08-02 05:00:00",801.35
"1993-08-03 05:00:00",801.15
"1993-08-04 05:00:00",801.86
"1993-08-05 05:00:00",801.82
"1993-08-06 05:00:00",801.86
"1993-08-07 05:00:00",801.78
"1993-08-08 05:00:00",801.78
"1993-08-09 05:00:00",801.78
"1993-08-10 05:00:00",802.3
"1993-08-11 05:00:00",803.22
"1993-08-12 05:00:00",804.48
"1993-08-13 05:00:00",804.93
"1993-08-14 05:00:00",804.51
"1993-08-15 05:00:00",804.51
"1993-08-16 05:00:00",804.51
"1993-08-17 05:00:00",804.51
"1993-08-18 05:00:00",804.76
"1993-08-19 05:00:00",805.62
"1993-08-20 05:00:00",806.15
"1993-08-21 05:00:00",806.72
"1993-08-22 05:00:00",806.72
"1993-08-23 05:00:00",806.72
"1993-08-24 05:00:00",807.04
"1993-08-25 05:00:00",807.57
"1993-08-26 05:00:00",807.77
"1993-08-27 05:00:00",807.55
"1993-08-28 05:00:00",807.53
"1993-08-29 05:00:00",807.53
"1993-08-30 05:00:00",807.53
"1993-08-31 05:00:00",806.86
"1993-09-01 05:00:00",806.83
"1993-09-02 05:00:00",808.04
"1993-09-03 05:00:00",807.96
"1993-09-04 05:00:00",807.68
"1993-09-05 05:00:00",807.68
"1993-09-06 05:00:00",807.68
"1993-09-07 05:00:00",807.62
"1993-09-08 05:00:00",808.24
"1993-09-09 05:00:00",809.33
"1993-09-10 05:00:00",810.25
"1993-09-11 05:00:00",810.03
"1993-09-12 05:00:00",810.03
"1993-09-13 05:00:00",810.03
"1993-09-14 05:00:00",810.09
"1993-09-15 05:00:00",810.81
"1993-09-16 05:00:00",811.75
"1993-09-17 05:00:00",811.93
"1993-09-18 05:00:00",811.18
"1993-09-19 05:00:00",811.18
"1993-09-20 05:00:00",811.18
"1993-09-21 05:00:00",810.88
"1993-09-22 05:00:00",809.75
"1993-09-23 05:00:00",810.04
"1993-09-24 05:00:00",810.55
"1993-09-25 05:00:00",809.93
"1993-09-26 05:00:00",809.93
"1993-09-27 05:00:00",809.93
"1993-09-28 05:00:00",809.55
"1993-09-29 05:00:00",809.69
"1993-09-30 05:00:00",810.84
"1993-10-01 05:00:00",811.31
"1993-10-02 05:00:00",812.29
"1993-10-03 05:00:00",812.29
"1993-10-04 05:00:00",812.29
